Campaign status,Campaign,Budget,Budget name,Budget type,Status,Status reasons,Optimization score,Campaign type,Currency code,TrueView avg. CPV,Avg. CPM,Interactions,Interaction rate,Avg. cost,Cost,Conv. (Platform Comparable),Cost / Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable),Revenue,CTR,Avg. CPC,Campaign ID,All conv.,Unique users,Engagements,Target ROAS,TrueView views,TrueView view rate (In-stream),TrueView view rate (In-feed),TrueView view rate (Shorts),Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%,ROAS,Impr.,Clicks,Earned views,Viewable rate,Orders,Purchase value,Conv. rate,Bid strategy type,Viewable CTR,Avg. viewable CPM,Viewable impr.,Participated in-app actions,Conv. value,Conv. value / cost,Conversions,Cost / Participated in-app action,Cost / conv.,Original conv. value,month_start,source_file
Paused,Wild-Earth-Dog-Display,250.00, --,Daily,Paused,campaign paused; most ads limited by policy, --,Display,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,12826054241,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize Conversions, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,Display-Generic-Festival-Sale,800.00, --,Daily,Paused,campaign paused; campaign ended; unknown, --,Display,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,14938850816,0.00,,0,50%,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Target ROAS, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,Looking for a Pet Store?,200.00, --,Daily,Paused,campaign paused, --,Smart,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,2065105605,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize clicks, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,YT-Boost-LearnWithHUFT-July14,3000.00, --,Campaign Total,Paused,campaign paused; campaign ended; unknown, --,Video,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,17753695421,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximum CPV, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,HUFT | Shopping Campaign,200.00, --,Daily,Paused,campaign paused; unknown, --,Shopping,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,873107991,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize clicks, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,Local_Store_Bandra_West_Mumbai_MH,300.00, --,Daily,Paused,campaign paused, --,Smart,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,17946694001,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize clicks, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Enabled,Search_Local Ads_Store promotion_Panchkula,400.00, --,Daily,Eligible (Limited),limited by budget; unknown,34.04,Search,INR,0.0,1277.6,"1,119",11.42%,11.19,12517.91,0.0,0,0.0,0.0,11.42%,11.19,22972054041,"1,554.84",,0, --,0, --, --, --, --, --, --, --,0.12,"9,798","1,119",0, --,0.00,0.0,27.61%,Maximize Conversions, --,0.0,0,0.0,"23,286.00",1.86,309.00,0.0,40.51,"23,286.00",2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Enabled,PMax_Cat_Food_Other,500.00, --,Daily,Eligible (Limited),limited by budget; unknown,82.96,Performance Max,INR,1.3,180.42,"6,510",7.71%,2.34,15232.37,0.0,0,0.0,19291.42,1.18%,15.31,18624894447,"4,778.20",,"5,717",280%,"3,876",38.44%,0.61%,0.00%, --, --, --, --,0.31,"84,427",995,0, --,13.83,0.0,1.00%,Maximize Conversion Value (Target ROAS), --,0.0,0,36.0,"136,166.56",8.94,65.04,423.12,234.19,"130,254.83",2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,LD_Search_Dog_Tick-Solution_Generic_Exact_India,1000.26, --,Daily,Paused,campaign paused; unknown, --,Search,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,16663367737,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Manual CPC, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,Shopping_SWF_Singles,2000.00, --,Daily,Paused,campaign paused; unknown, --,Shopping,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,22202007548,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize clicks, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,Small Animals - Shopping,300.00, --,Daily,Paused,campaign paused; unknown, --,Shopping,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,1455810659,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,CPC (enhanced), --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,Dog Toy - Shopping,300.00, --,Daily,Paused,campaign paused; unknown, --,Shopping,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,2025413983,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,CPC (enhanced), --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
