Order UTM campaign,Order UTM content,Order UTM medium,Orders,Gross sales,Discounts,Returns,Net sales,Shipping charges,Duties,Additional fees,Taxes,Total sales,month_start,source_file
DTC_Meowsi_Conv,DTC_Meowsi_Video_WhatsForDinnerFtEclairs_Sept22,DTC_Meowsi_CatInt,18,15211.58,-195.65,0,15015.93,441,0,0,388.62,15845.55,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_SWF_Conv,DTC_SWF_winter_issues_rashi_Dec23_AM,DTC_SWF_IndiaDogProducts,17,17247.93,-1475.93,0,15772.0,441,0,0,682.78,16895.78,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_YIMT_ASC_PP Ad set,DTC_YIMT_Singles&Combos_Catalog_PP_ASC_26March24,DTC_YIMT_ASC_PP Campaign,17,8445.26,-267.8,0,8177.46,686,0,0,49.53,8912.99,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_SWF_Conv,DTC_SWF_Video_SomethingDoneRight_Nov21,DTC_SWF_IndiaDogProducts,16,16850.48,-502.0,0,16348.48,490,0,0,43.33,16881.81,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Hearty_Conv_Manual,DTC_HeartyK_Video_NoFoulSmell_Nov18,DTC_Hearty_Conv_DogHealth,16,40453.7,-2728.24,0,37725.46,245,0,0,1277.27,39247.73,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Hearty_3PAud_Sales,DTC_Hearty_NotMadeInLab_Nov11,DTC_Hearty_ThirdPartyRCFarmOrAcana,15,23530.47,-1744.47,0,21786.0,245,0,0,32.42,22063.42,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Winter'25_Conv,DTC_Winter'25_Video_JacketsComp_Nov21,DTC_Winter'25_Lifestyle,15,35685.46,-3029.72,0,32655.74,0,0,0,537.56,33193.3,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Hearty_3PAud_Sales,DTC_Hearty_Video_XmasSpecial_Dec09,DTC_Hearty_ThirdPartyRCFarmOrAcana,14,24521.88,-1384.99,0,23136.89,196,0,0,969.95,24302.84,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Hearty_Conv_Manual,DTC_HeartyB_Video_Poppins&Sam_Nov18,DTC_Hearty_Conv_TopCitesPetFood,14,15377.49,-879.17,0,14498.32,392,0,0,166.68,15057.0,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_SWF_Conv,DTC_SWF_Video_BestDogFood_Dec09,DTC_SWF_Conv_TopSWFCities,12,10138.79,-901.64,0,9237.15,490,0,0,0.0,9727.15,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
