Order UTM medium,Order UTM campaign,Orders,Total sales,Gross sales,Net sales,Average order value,Orders (previous_period),Total sales (previous_period),Gross sales (previous_period),Net sales (previous_period),Average order value (previous_period),Orders (previous_period) ,Total sales (previous_period) ,Gross sales (previous_period) ,Net sales (previous_period) ,Average order value (previous_period) ,month_start,source_file,Orders (previous_month),Total sales (previous_month),Gross sales (previous_month),Net sales (previous_month),Average order value (previous_month),Orders (previous_month) ,Total sales (previous_month) ,Gross sales (previous_month) ,Net sales (previous_month) ,Average order value (previous_month) 
Search,Search_Cat_Food_Treat_Meowsi,43,97355.25,97361.96,95190.28,2213.727,27.0,61023.07,60463.7,58467.9,2165.477,59.25925925925926,59.538,61.025,62.807,2.228,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
Search,Search_Cat_Food_Other_Generic,46,76681.46,75281.65,73982.25,1608.309,18.0,27080.75,26174.6,25500.2,1416.677,155.55555555555554,183.158,187.613,190.124,13.526,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
Search,Search_Cat_Food_Other_Whiskas,46,69911.75,71592.64,69027.92,1500.606,17.0,31075.3,32300.29,30812.69,1812.511,170.58823529411765,124.975,121.647,124.024,-17.208,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
Search,Search_Dog_Food_Other_Pedigree,33,67681.89,69127.24,66494.12,2014.973,12.0,35663.4,36449.19,35135.98,2927.998,175.0,89.779,89.653,89.247,-31.182,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
Search,Search_Dog_Food_Other_Brands,20,65013.22,66074.64,64707.01,3235.35,21.0,103871.25,106348.48,103695.46,4937.879,-4.761904761904762,-37.409,-37.869,-37.598,-34.478,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
Search,Search_Dog_Collar_Leash_Harness,28,60521.56,61366.41,59432.68,2122.595,41.0,74451.14,73999.44,72307.55,1763.598,-31.70731707317073,-18.709,-17.071,-17.805,20.355,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
PMax,Pmax_Dog_Food_Cat_Food_Other_Farmina,26,55792.83,56613.48,54763.65,2106.294,10.0,35425.64,36146.6,35327.64,3532.764,160.0,57.492,56.621,55.016,-40.378,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
Search,Search_DSA,24,39388.98,39171.59,37896.37,1579.015,52.0,89808.51,87006.37,84668.38,1628.238,-53.84615384615385,-56.141,-54.978,-55.241,-3.023,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
PMax,Pmax_Grooming_Dog_Cat,29,37752.0,36493.85,36003.68,1241.506,32.0,39547.9,38996.53,37879.33,1183.729,-9.375,-4.541,-6.417,-4.951,4.88,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
PMax,PMax_Cat_Food_Other,25,31514.5,31218.47,30875.69,1235.027,14.0,15862.38,15389.17,15321.01,1094.357,78.57142857142857,98.674,102.859,101.525,12.854,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
