"Product title at time of sale","Product variant title at time of sale","Orders","Net items sold","Total sales","Discounts","Average order value","New customers"
"Sara's Wholesome Chicken & Brown Rice Puppy Food – 100 gm | Human Grade, All-Natural, Preservative-Free, Ready-to-Eat Meal for Puppies (4 Weeks & Above)","Pack Of 21",1,1,1617.15,-150,1617.15,0
"Sara's Wholesome Chicken & Brown Rice Puppy Food – 100 gm | Human Grade, All-Natural, Preservative-Free, Ready-to-Eat Meal for Puppies (4 Weeks & Above)","Pack Of 10",1,1,757.35,-133.65,757.35,0
"Sara's Wholesome Grain-Free Chicken And Turkey Dog Food","100 g / Pack Of 5",1,1,520.84,-91.91,520.84,1
"Sara's Wholesome Grain-Free Lamb and Apple Dog Food – All Natural, Ready to Eat Meals for Dogs – Human-Grade, Preservative-Free","100 g / Pack Of 14",1,1,1625.4,0,1625.4,0
"Sara's Wholesome Grain-Free Chicken & Veggies Dog Food for Dogs – Human-Grade, Preservative-Free – 300 gm","Pack Of 7",1,1,2072.7,0,2072.7,0
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","300 g / Pack Of 1",1,1,369.55,0,369.55,0
"Sara's Wholesome Chicken & Brown Rice Puppy Food – 100 gm | Human Grade, All-Natural, Preservative-Free, Ready-to-Eat Meal for Puppies (4 Weeks & Above)","Pack Of 5",1,1,470.25,0,470.25,1
"Sara's Wholesome Chicken & Brown Rice Puppy Food - 100 gm","Pack Of 21",1,1,1738.05,-91.47,1738.05,0
"Sara's Wholesome Grain-Free Chicken and Turkey Dog Food – All Natural, Ready to Eat Meals for Dogs – Human-Grade, Preservative-Free","300 g / Pack Of 7",1,1,2450.7,0,2450.7,0
"Sara's Wholesome Grain-Free Lamb and Apple Dog Food – All Natural, Ready to Eat Meals for Dogs – Human-Grade, Preservative-Free","300 g / Pack Of 1",1,1,389,0,389,0
"Sara's Wholesome Food Mutton Biryani for Dogs – Flavours of India, 300 g – Human-Grade","Pack of 5",1,1,1484.62,-78.13,1484.62,0
"Sara's Wholesome Flavours of India Vegetable Biryani Wet Dog Food, 100% Vegetarian, Human-Grade Ingredients – Preservative-Free, Farm-Fresh","300 gm / Pack Of 1",1,1,299,0,299,0
"Sara's Wholesome Food Chicken Biryani - Flavours of India","300 g / Pack of 7",1,1,1883.7,0,1883.7,0
"Sara's Wholesome Food Mutton Biryani for Dogs – Flavours of India – Human-Grade","300 g / Pack of 5",1,1,1562.75,0,1562.75,0
"Sara's Wholesome Food Chicken Biryani - Flavours of India","300 g / Pack of 5",1,1,1420.25,0,1420.25,0
"Sara's Wholesome Chicken & Brown Rice Puppy Food - 100 gm","Pack Of 4",1,1,372.24,0,341.5,1
"Sara's Wholesome Food Mutton Biryani for Dogs – Flavours of India – Human-Grade","100 gm / Pack of 7",1,1,812.7,0,812.7,0
"Sara's Wholesome Chicken & Brown Rice Puppy Food – 100 gm | Human Grade, All-Natural, Preservative-Free, Ready-to-Eat Meal for Puppies (4 Weeks & Above)","Pack Of 8",1,1,605.88,-106.92,605.88,1
"Sara's Wholesome Chicken & Brown Rice Puppy Food – 100 gm | Human Grade, All-Natural, Preservative-Free, Ready-to-Eat Meal for Puppies (4 Weeks & Above)","Pack Of 7",1,1,623.7,0,623.7,1
"Sara's Wholesome Grain-Free Lamb And Apple Dog Food","100 g / Pack Of 21",1,1,2264.73,-119.19,2264.73,0
"Sara's Wholesome Food Chicken Biryani - Flavours of India - 300 g","Pack of 21",1,1,4972.97,-468.26,4214.38,0
"Sara's Wholesome Grain-Free Chicken & Veggies Dog Food for Dogs – Human-Grade, Preservative-Free","100 gm / Pack Of 5",1,1,612.75,0,519.28,0
