"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (INR)",Ends,Impressions,"CPM (cost per 1,000 impressions) (INR)","Link clicks","CPC (cost per link click) (INR)","CTR (link click-through rate)","CTR (all)","CPC (all) (INR)","Clicks (all)","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on advertising spend)","In-app purchase ROAS (return on ad spend)"
2026-01-01,2026-01-31,DTC_Category_Ads_April22,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Dog_Food_Pedigree-Royal_Conversion,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Conversions_Campaign_Instant_Exp,inactive,-,,,0,0,,"Using ad set budget",0,0,1970-01-01,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Dog_Grooming_Conversions_April22,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Dog_Food_Repeat,inactive,-,,,0,0,,20000,Daily,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Dog_Food_Brand_Prospecting_CS_April,inactive,-,,,0,0,,8000,Daily,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Tofu_Store_Conversions_iOS,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Mix_Conversion_Collection,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_TasteOfTheWild_Conversion_Ads,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Bofu_Royal_Snooze_Beds_July22,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Dog_Food_Drools_Pedigree_July22,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_HUFTIT_Conversions_Desktop,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Dog_Treats_Conversions_July22,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Rakhi_Conversions_July22,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Remarketing_CatalogSales_KS,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_WebsiteVisitors_Remarketing_KS,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Marvel_Collection_Conversions_2022,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"DTC_Bed_Sale_Conversion_Jan Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Dog_Treats_Conv_Feb_23,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Dog_Treats_MOFU_Dec_22,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
